@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric

@data
1,'2018/09/29 17:07:44:671',1,209.635239,402.855499,61.400227,176.587753,401.358124,56.450588,173.444656,406.387543,54.989338,153.443817,411.961304,53.767044,128.562286,415.274231,54.139694,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
2,'2018/09/29 17:07:44:721',1,220.483719,407.473389,61.321648,186.779861,403.859528,56.541656,184.261826,408.640686,55.073967,163.126678,413.146637,53.617855,138.246735,416.623291,53.958664,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
3,'2018/09/29 17:07:44:772',1,219.403992,405.26767,60.922829,187.542908,403.512604,56.108173,186.459534,408.727661,54.7071,165.529602,413.723633,53.079929,140.775848,417.839386,53.317104,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
4,'2018/09/29 17:07:44:823',1,219.045334,406.621582,61.360664,189.389587,404.855713,56.586098,188.084335,410.009064,55.134171,167.398834,414.988739,53.450821,142.108429,418.692749,53.582714,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
5,'2018/09/29 17:07:44:872',1,225.107681,406.613831,61.236561,196.174652,404.530762,56.693794,195.388168,409.634552,55.225372,175.156433,415.195801,53.544003,150.302475,419.70932,53.697052,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
6,'2018/09/29 17:07:44:921',1,221.374466,404.928711,61.405006,193.846008,403.487427,56.965714,193.117996,409.428223,55.748348,171.962143,415.132813,54.121853,146.593658,418.987854,54.371822,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
7,'2018/09/29 17:07:44:971',1,227.632751,406.57901,61.404778,202.882721,402.871399,57.099728,203.354721,408.53299,55.819199,183.258194,414.161926,53.952885,157.894516,418.460785,53.943821,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
8,'2018/09/29 17:07:45:022',1,233.72197,407.668945,60.935631,210.208603,401.928833,57.005676,210.123886,407.566895,55.709942,189.401215,413.013123,53.948509,163.671585,416.90863,54.01503,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
9,'2018/09/29 17:07:45:072',1,233.429398,407.3974,60.838444,211.261154,400.901978,57.015442,210.54306,406.696564,55.767834,189.204147,411.913818,54.075516,163.259247,415.2948,54.230045,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
10,'2018/09/29 17:07:45:122',1,240.042236,404.815491,59.867321,215.751358,398.985931,56.31358,214.657196,405.061829,55.14146,192.628769,411.049164,53.772316,167.416458,414.995087,54.302197,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
11,'2018/09/29 17:07:45:171',1,246.706497,403.334869,59.386269,222.732239,397.407532,55.920193,220.863022,403.501099,54.714909,198.576767,409.588379,53.553318,173.514801,413.332581,54.228867,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
12,'2018/09/29 17:07:45:221',1,248.897034,403.342773,59.036793,225.10672,397.0961,55.645809,223.148697,403.109314,54.41193,200.835312,409.207642,53.25676,176.093796,413.188171,53.995911,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
13,'2018/09/29 17:07:45:271',1,251.685501,402.968994,58.872013,228.042099,396.71524,55.487785,226.085983,402.723633,54.250648,203.863373,408.887329,53.107216,179.200363,412.939972,53.859089,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
14,'2018/09/29 17:07:45:321',1,255.152115,403.376617,58.744457,232.504669,396.542023,55.383621,230.154282,402.451965,54.097118,207.967422,408.588501,53.051064,183.291977,412.505493,53.835182,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
15,'2018/09/29 17:07:45:372',1,254.808777,401.490845,58.754402,233.644211,394.663635,55.374737,231.096924,400.821014,54.133015,209.162277,407.383972,53.287537,184.695251,411.233307,54.177277,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
16,'2018/09/29 17:07:45:421',1,254.732559,401.091736,58.417023,234.714035,393.480988,55.085003,231.666901,399.762787,53.919498,209.480301,406.326965,53.268028,185.312347,409.945465,54.336983,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
17,'2018/09/29 17:07:45:471',1,251.673767,401.863403,58.429886,233.17395,393.115173,55.039631,229.102539,399.093384,53.716244,207.945389,405.838623,53.299953,183.698105,409.296936,54.373001,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
18,'2018/09/29 17:07:45:522',1,251.431335,402.113525,58.221466,234.31778,392.01532,54.844296,230.296463,397.782471,53.450226,209.773315,404.729736,53.043919,185.558899,408.452698,54.052647,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
19,'2018/09/29 17:07:45:572',1,249.213562,400.66861,58.589741,235.864548,388.870331,55.202805,232.632385,394.295441,53.662247,213.019775,401.391113,53.026203,188.312744,405.379425,53.69194,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
20,'2018/09/29 17:07:45:622',1,250.177811,399.599609,58.608074,238.880905,386.14502,55.313908,236.230118,391.478699,53.769108,217.18605,398.644135,52.984455,192.548553,402.962708,53.568047,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
21,'2018/09/29 17:07:45:672',1,250.720245,399.670135,58.446869,241.347961,383.938049,55.347927,239.182632,389.002502,53.785553,220.304993,395.801361,52.787632,195.56189,400.253021,53.269062,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
22,'2018/09/29 17:07:45:721',1,245.560547,399.201324,58.980129,238.937073,382.19986,55.838207,237.53743,387.406982,54.351032,218.986069,394.021362,53.20232,193.905121,398.229736,53.485893,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
23,'2018/09/29 17:07:45:771',1,242.688751,397.960815,59.290688,238.871475,379.924988,56.210735,237.734695,385.232178,54.748055,219.648453,391.878723,53.508213,194.455597,395.96936,53.638386,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
24,'2018/09/29 17:07:45:821',1,241.727051,398.059174,59.108521,238.428223,379.290833,56.032257,237.383942,384.715027,54.61689,219.413559,391.386841,53.36763,194.228836,395.478363,53.485653,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
25,'2018/09/29 17:07:45:871',1,239.431763,399.099976,59.224152,238.174057,379.374695,56.278488,236.902206,384.7883,54.836441,219.193146,391.535889,53.553539,194.056534,395.633362,53.602493,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
26,'2018/09/29 17:07:45:921',1,240.112747,400.680176,59.446518,239.214264,380.16449,56.60252,238.256821,385.546143,55.173004,220.838058,392.207947,53.824242,195.564392,396.207367,53.77597,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
27,'2018/09/29 17:07:45:972',1,240.968002,400.605164,59.604115,238.412827,379.914093,56.566444,237.700287,385.613098,55.230537,220.459198,392.568451,53.965492,195.192535,396.681519,53.980392,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
28,'2018/09/29 17:07:46:021',1,240.366714,400.151001,59.419376,235.088943,379.946808,55.962017,234.449493,386.205658,54.799847,216.581299,393.317566,53.71286,191.299606,397.339111,53.922871,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
29,'2018/09/29 17:07:46:071',1,228.104141,415.723145,57.442177,223.710251,418.131226,65.209595,200.782028,410.335419,57.901371,215.982834,404.872131,54.714241,234.061615,397.973114,52.684723,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
30,'2018/09/29 17:07:46:121',1,230.487,416.192688,57.794613,226.946121,420.225983,65.192116,203.66655,411.846985,57.916218,217.582306,406.183228,54.740303,236.159225,397.861694,52.889381,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
31,'2018/09/29 17:07:46:172',1,231.434021,416.194336,57.720657,229.38501,421.773865,65.055199,204.021255,412.327637,57.943417,216.640457,406.268402,54.775135,234.932526,397.019775,53.006756,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
32,'2018/09/29 17:07:46:221',1,229.865036,415.647522,57.750225,228.067993,422.582336,65.01635,200.995697,412.082733,58.040695,212.817368,405.935822,54.892059,231.287033,396.059753,53.191956,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
33,'2018/09/29 17:07:46:271',1,230.255951,415.205017,57.993752,226.941559,422.295441,65.106705,199.973679,411.730316,58.063942,211.9711,405.861389,54.94331,230.974075,395.738739,53.291004,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
34,'2018/09/29 17:07:46:321',1,230.590012,414.933807,58.266071,225.775162,421.958862,65.189812,199.355484,411.451477,58.088203,211.563614,405.818756,54.979088,230.9991,395.580841,53.3564,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
35,'2018/09/29 17:07:46:371',1,230.899368,414.868042,58.524002,225.337219,421.790863,65.234802,199.362137,411.335297,58.098873,211.72348,405.833557,54.996811,231.381287,395.530243,53.391171,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
36,'2018/09/29 17:07:46:421',1,233.25145,415.060303,58.911091,227.706161,422.116699,65.359268,201.362854,411.747803,58.228626,213.331955,406.376068,55.106979,233.191925,395.786987,53.520981,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
37,'2018/09/29 17:07:46:471',1,235.808701,415.432098,59.187927,230.264099,422.454041,65.483719,203.795349,412.719299,58.324043,215.438507,407.487885,55.180305,235.174576,396.519379,53.587128,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
38,'2018/09/29 17:07:46:521',1,239.082932,415.809448,59.33823,234.208435,423.069397,65.427551,206.879074,413.935303,58.27388,217.773315,408.707794,55.097038,237.301239,397.154846,53.518669,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
39,'2018/09/29 17:07:46:571',1,240.628342,415.842712,59.479507,235.607376,423.504333,65.396652,208.472031,414.758026,58.204441,219.0979,409.536621,55.017895,238.675217,397.524292,53.49659,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
40,'2018/09/29 17:07:46:621',1,243.758514,414.822815,59.813049,238.915878,424.591309,65.231186,212.006271,415.944794,58.037788,222.200729,410.085571,54.893066,237.510193,398.975586,53.35947,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
41,'2018/09/29 17:07:46:672',1,247.397095,413.799713,60.192848,243.749008,425.666504,65.152428,216.467758,417.144714,57.943073,225.334503,410.650909,54.787758,238.195557,399.349335,53.351097,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
42,'2018/09/29 17:07:46:721',1,249.592392,413.430481,60.425774,247.339645,426.30426,65.148369,218.204498,418.078766,57.779274,226.222183,410.978516,54.710682,237.368652,399.491211,53.342926,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
43,'2018/09/29 17:07:46:772',1,244.46936,413.391876,60.429367,242.46106,427.031738,64.899719,213.713882,418.359802,57.409698,222.282318,410.716522,54.518093,232.280197,398.902313,53.237598,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
44,'2018/09/29 17:07:46:821',1,244.866821,413.430511,60.447933,243.677414,427.306335,64.750153,215.337967,418.793152,57.217579,223.647903,410.756042,54.395004,232.509262,398.585876,53.191631,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
45,'2018/09/29 17:07:46:872',1,246.196838,413.485809,60.472431,245.942001,427.343689,64.699287,216.035736,418.735474,57.210365,223.732803,410.593781,54.39629,232.157516,398.36615,53.203754,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
46,'2018/09/29 17:07:46:921',1,245.74379,412.900879,60.692787,246.63028,426.630219,64.896912,213.992752,418.188354,57.321762,221.628143,409.948242,54.619911,229.28775,397.707703,53.40485,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
47,'2018/09/29 17:07:46:971',1,244.75383,411.566345,61.076,245.825317,424.970612,65.400238,210.55806,416.671387,57.655582,218.401138,408.6875,55.006496,226.732925,396.525238,53.819546,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
48,'2018/09/29 17:07:47:021',1,244.224594,409.274475,61.431572,244.727707,422.438995,66.02951,209.036285,415.014038,58.061867,216.950165,407.25116,55.411095,225.652802,395.104675,54.255527,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
49,'2018/09/29 17:07:47:071',1,238.414413,403.273102,62.330154,238.356125,415.318207,67.34848,201.713455,410.176666,59.168503,209.207764,403.202148,56.369495,218.310211,391.434204,55.056854,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
50,'2018/09/29 17:07:47:122',1,233.506256,398.546814,62.413528,236.303162,407.93924,67.659546,192.422028,405.528503,59.833965,198.206375,400.297272,56.764439,207.45813,389.744568,54.950516,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
