@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric
@attribute outputs-20 numeric
@attribute outputs-21 numeric
@attribute outputs-22 numeric
@attribute outputs-23 numeric
@attribute outputs-24 numeric
@attribute outputs-25 numeric
@attribute outputs-26 numeric
@attribute outputs-27 numeric
@attribute outputs-28 numeric
@attribute outputs-29 numeric
@attribute outputs-30 numeric
@attribute outputs-31 numeric
@attribute outputs-32 numeric
@attribute outputs-33 numeric
@attribute outputs-34 numeric
@attribute outputs-35 numeric
@attribute outputs-36 numeric
@attribute outputs-37 numeric
@attribute outputs-38 numeric
@attribute outputs-39 numeric
@attribute outputs-40 numeric

@data
523,'2018/09/29 20:56:56:214',6,200.790588,436.490509,58.409866,217.683136,430.560272,53.195442,213.850647,451.416046,49.877266,186.591553,451.792023,50.20089,153.491028,444.810364,49.463173,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
524,'2018/09/29 20:56:56:264',6,200.507019,436.241943,58.44923,217.739044,430.33432,53.2416,213.796341,451.463135,49.840393,186.415192,451.795044,50.336853,153.401596,444.724396,49.473763,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
525,'2018/09/29 20:56:56:313',6,200.344208,435.962646,58.451195,218.026764,430.152039,53.177425,213.553284,451.394226,49.739025,186.02002,451.483551,50.336475,153.078918,444.374542,49.54987,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
526,'2018/09/29 20:56:56:365',6,200.481171,435.598663,58.591457,218.749603,429.888062,53.295021,214.608139,451.320496,49.837952,186.911316,451.360809,50.488342,154.002426,444.289948,49.626747,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
527,'2018/09/29 20:56:56:415',6,200.956223,435.123993,58.630402,219.93634,429.231567,53.316055,216.45314,450.772583,49.825172,188.666626,450.92749,50.47488,155.550034,444.2099,49.667023,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
528,'2018/09/29 20:56:56:463',6,252.777359,428.866638,58.87674,215.237366,431.295288,52.219627,206.704712,440.158325,50.200878,177.783539,438.318481,48.453182,146.19043,435.131287,48.626862,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
529,'2018/09/29 20:56:56:514',6,256.18811,428.30719,58.6063,215.276001,431.02063,51.900341,205.994476,439.109436,50.321968,177.202026,437.627594,48.427048,146.158081,434.769165,48.733719,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
530,'2018/09/29 20:56:56:565',6,255.834717,430.27243,57.781403,213.810883,431.768402,51.332901,203.006149,439.261414,50.182827,173.591141,437.419617,48.269604,143.28595,433.657593,48.519058,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
531,'2018/09/29 20:56:56:614',6,254.311966,429.444031,58.047386,214.397018,430.536713,51.665375,203.318222,437.964539,50.7817,173.377686,435.629333,48.489368,143.275269,432.054077,48.978157,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
532,'2018/09/29 20:56:56:664',6,251.702682,426.980377,58.350506,212.860016,428.325775,52.185658,201.820114,435.912659,51.821442,169.982361,432.095306,48.709709,140.451996,428.967712,49.380226,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
