@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric
@attribute outputs-20 numeric
@attribute outputs-21 numeric
@attribute outputs-22 numeric
@attribute outputs-23 numeric
@attribute outputs-24 numeric
@attribute outputs-25 numeric
@attribute outputs-26 numeric
@attribute outputs-27 numeric
@attribute outputs-28 numeric
@attribute outputs-29 numeric
@attribute outputs-30 numeric
@attribute outputs-31 numeric
@attribute outputs-32 numeric
@attribute outputs-33 numeric
@attribute outputs-34 numeric
@attribute outputs-35 numeric
@attribute outputs-36 numeric
@attribute outputs-37 numeric
@attribute outputs-38 numeric
@attribute outputs-39 numeric
@attribute outputs-40 numeric

@data
1,'2018/09/30 19:40:37:964',1,447.059082,442.940063,59.494629,456.791931,450.216797,57.7724,441.094757,457.929321,55.786907,411.183167,458.546173,53.882469,379.831543,452.19223,53.730667,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
2,'2018/09/30 19:40:38:014',1,446.569489,442.550018,59.411095,456.0737,449.804321,57.667656,440.313293,457.429504,55.631855,410.552795,458.077515,53.808418,379.230835,451.688965,53.636112,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
3,'2018/09/30 19:40:38:064',1,446.693329,442.35434,59.439842,456.085175,449.591919,57.652409,440.36673,457.21344,55.609524,410.743774,457.990601,53.875797,379.372162,451.647125,53.694561,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
4,'2018/09/30 19:40:38:115',1,446.781677,442.214874,59.456146,456.116364,449.458435,57.648266,440.416779,457.088287,55.603481,410.831879,457.926025,53.899258,379.43399,451.619202,53.71896,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
5,'2018/09/30 19:40:38:164',1,446.92807,442.124695,59.499516,456.229095,449.350616,57.649429,440.547333,456.999329,55.608807,410.987061,457.901825,53.929123,379.564575,451.637939,53.755791,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
6,'2018/09/30 19:40:38:215',1,446.84613,442.22464,59.637775,456.312866,449.292297,57.636211,440.663757,456.954559,55.615528,411.123505,457.92865,53.971973,379.642822,451.686066,53.777153,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
7,'2018/09/30 19:40:38:264',1,446.273834,442.540253,59.756405,455.951477,449.520447,57.650082,440.330078,457.1828,55.627003,410.800507,458.198242,53.971455,379.29657,452.000061,53.781788,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
8,'2018/09/30 19:40:38:314',1,445.800018,442.786346,59.876812,455.573975,449.645996,57.660553,440.031494,457.356842,55.660709,410.476166,458.426636,53.983658,378.932404,452.295349,53.795094,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
9,'2018/09/30 19:40:38:364',1,444.477417,443.143433,60.09108,454.430115,449.635498,57.611057,439.227905,457.563934,55.742516,409.488953,458.904907,53.99725,377.7547,453.058624,53.797195,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
10,'2018/09/30 19:40:38:414',1,441.719055,443.278198,60.183273,452.614471,449.242737,57.470707,438.122986,457.525757,55.804283,408.374146,459.543304,54.118839,376.164917,454.230804,53.755558,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
11,'2018/09/30 19:40:38:465',1,438.067047,442.967163,60.166691,449.092377,448.782013,57.259216,435.233582,457.331055,56.047474,405.690399,460.090393,54.847458,372.617554,455.051849,54.062115,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
12,'2018/09/30 19:40:38:515',1,436.86203,442.92749,60.266918,447.856537,448.501221,57.198875,434.259521,456.996155,56.214237,404.754089,459.980499,55.128593,371.435974,455.159424,54.404167,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
13,'2018/09/30 19:40:38:564',1,435.415863,442.558014,60.448494,446.500488,447.628937,57.176331,433.548096,455.95166,56.57576,403.77063,459.075348,55.341152,370.145691,454.372742,54.649532,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
14,'2018/09/30 19:40:38:614',1,434.779724,441.688629,60.720654,445.936737,446.148621,57.278797,433.464264,454.375702,56.868816,403.497955,457.410553,55.473488,369.744141,452.760559,54.850391,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
15,'2018/09/30 19:40:38:665',1,434.841309,440.875702,60.922417,446.343079,444.920013,57.382603,434.447815,453.26709,57.096848,404.531403,456.50116,55.633438,370.4599,452.109497,54.921177,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
16,'2018/09/30 19:40:38:715',1,434.696198,440.316895,61.04921,446.287323,444.160187,57.454193,434.710449,452.566986,57.259594,404.845306,455.886108,55.812431,370.554321,451.607849,55.043713,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
17,'2018/09/30 19:40:38:765',1,433.930603,438.93158,61.310371,445.687592,442.318298,57.638165,434.43927,450.760681,57.523125,404.660431,454.073639,56.081299,370.176971,449.870758,55.316914,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
18,'2018/09/30 19:40:38:814',1,433.342773,438.421387,61.448029,445.216919,441.588318,57.720016,434.142761,450.042297,57.67112,404.356506,453.356995,56.214317,369.80426,449.219635,55.478836,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
19,'2018/09/30 19:40:38:865',1,432.565948,438.250885,61.559639,444.699066,441.141052,57.783257,433.768799,449.617615,57.755066,404.113647,452.960449,56.270634,369.435577,448.926331,55.558502,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
20,'2018/09/30 19:40:38:914',1,430.527954,437.596252,61.819504,442.946411,441.053802,58.04826,432.181061,449.546234,58.165859,402.642456,453.281647,56.724586,367.856445,449.509552,55.92207,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
21,'2018/09/30 19:40:38:969',1,430.004242,437.975128,61.872131,442.59314,440.876556,58.059872,431.873505,449.390259,58.121727,402.462677,453.003784,56.662903,367.606506,449.227051,55.904694,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
22,'2018/09/30 19:40:39:015',1,430.232544,438.488892,62.012325,442.679993,440.620667,58.146248,432.103607,449.169891,58.169312,402.701233,452.460297,56.552467,367.62738,448.655914,55.956841,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
23,'2018/09/30 19:40:39:065',1,430.205048,438.396545,62.072567,442.526306,440.303314,58.180462,432.089752,448.899872,58.261585,402.473969,451.880432,56.500378,367.362244,447.966125,55.965527,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
24,'2018/09/30 19:40:39:114',1,431.596771,437.064667,62.269188,443.419312,438.901764,58.327267,433.017883,447.533417,58.469021,403.336304,450.337646,56.740738,368.04892,446.120239,56.164474,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
25,'2018/09/30 19:40:39:164',1,433.314667,435.840637,62.174381,444.49176,437.879181,58.153454,433.935822,446.490723,58.377056,404.328613,449.230835,56.943699,368.975342,444.481964,56.181499,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
26,'2018/09/30 19:40:39:215',1,436.82135,435.095276,61.177685,449.074677,436.420685,57.297001,440.393158,445.452026,58.406006,409.235565,448.125244,56.674076,373.73288,443.315094,55.964851,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
27,'2018/09/30 19:40:39:264',1,439.353516,434.457123,60.802288,452.007751,435.656128,57.018013,443.679718,444.79837,58.388481,411.983154,447.523773,56.717598,376.744629,442.516174,55.97057,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
28,'2018/09/30 19:40:39:314',1,442.338196,434.753265,60.325703,459.453247,434.633789,56.867298,451.340668,444.072876,58.163757,419.406769,446.890167,56.696396,384.141052,441.836639,55.971767,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
29,'2018/09/30 19:40:39:365',1,444.385712,434.376648,59.64053,467.39444,432.462646,57.085232,459.04129,442.13147,58.007477,426.780975,445.311768,56.67524,391.391083,440.406586,55.878788,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
30,'2018/09/30 19:40:39:415',1,445.172668,433.849609,59.106964,471.163422,430.299744,57.093319,462.832764,440.058044,58.081818,429.867401,443.224854,56.434349,394.616577,438.514374,55.755222,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
31,'2018/09/30 19:40:39:465',1,447.58255,433.285828,58.882942,475.486359,428.101807,57.256462,466.98407,437.89743,58.164925,433.36853,440.908112,56.364285,398.366455,436.531311,55.697895,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
32,'2018/09/30 19:40:39:515',1,450.619598,432.011261,58.680725,479.254089,426.010254,57.234497,470.581177,435.861328,58.156845,436.891296,438.923401,56.339638,401.763458,434.430634,55.722984,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
33,'2018/09/30 19:40:39:564',1,453.008209,431.019897,58.375954,483.206116,423.576904,57.13789,474.317017,433.358032,58.128284,440.537384,436.747498,56.394493,405.248383,432.305298,55.809822,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
34,'2018/09/30 19:40:39:615',1,455.638763,430.778381,57.998966,486.563599,422.059082,57.058746,477.351501,431.860016,58.015034,443.899872,435.861298,56.084141,408.488037,431.538513,55.542747,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
35,'2018/09/30 19:40:39:665',1,460.372253,430.459198,57.386715,489.741577,421.785583,56.556252,479.641663,431.488464,57.425697,446.518311,435.865723,55.36721,411.090088,431.23587,54.915588,0.810213,0.873142,0.999,0.69222,0.5,0,0.228118,0,0.999,0,0.999,0.094394,0.999,0.5,0,0,0,0,0.212386,0,0.841677,0,0.999,0.5,0,0.157323,0.778748,0.353976,0.196654,0.432638,0.715819,0.849543,0.999,0.5,0,0,0.117992,0.078661,0.180921,0
