@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric
@attribute outputs-20 numeric
@attribute outputs-21 numeric
@attribute outputs-22 numeric
@attribute outputs-23 numeric
@attribute outputs-24 numeric
@attribute outputs-25 numeric
@attribute outputs-26 numeric
@attribute outputs-27 numeric
@attribute outputs-28 numeric
@attribute outputs-29 numeric
@attribute outputs-30 numeric
@attribute outputs-31 numeric
@attribute outputs-32 numeric
@attribute outputs-33 numeric
@attribute outputs-34 numeric
@attribute outputs-35 numeric
@attribute outputs-36 numeric
@attribute outputs-37 numeric
@attribute outputs-38 numeric
@attribute outputs-39 numeric
@attribute outputs-40 numeric

@data
1,'2018/09/29 19:43:56:603',1,222.990677,370.580688,47.231464,185.531372,367.028198,60.502708,133.157654,395.650391,64.428963,134.072113,421.856445,61.590908,88.258179,451.132629,56.10014,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
2,'2018/09/29 19:43:56:654',1,223.284698,370.36145,47.277367,185.774811,366.820953,60.546078,133.982849,395.590881,64.435287,134.026764,421.659607,61.615799,88.597321,450.819855,56.110001,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
3,'2018/09/29 19:43:56:704',1,223.484116,370.092163,47.265697,186.374237,366.694794,60.564449,134.442261,395.343384,64.469269,134.2388,421.352905,61.635166,89.110474,450.455139,56.116756,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
4,'2018/09/29 19:43:56:754',1,224.378265,369.884766,46.959534,186.428162,367.140198,60.286919,132.365997,394.367493,64.419533,131.12088,420.515625,61.758842,90.577698,450.129272,56.181328,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
5,'2018/09/29 19:43:56:804',1,223.228882,369.690918,46.833088,186.283401,366.937592,60.506096,134.212708,394.588257,64.604866,131.097229,420.318268,61.926247,88.921234,449.912598,56.377609,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
6,'2018/09/29 19:43:56:854',1,223.103256,369.883484,46.924454,186.657288,366.713318,60.786144,136.153259,395.265778,64.831413,132.521149,420.36911,62.174416,90.219849,450.433319,56.644974,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
7,'2018/09/29 19:43:56:904',1,222.767838,370.026703,46.94389,187.314026,367.025696,60.955231,137.392212,396.211731,64.875961,133.139862,420.949921,62.053001,90.047821,450.308075,56.402962,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
8,'2018/09/29 19:43:56:954',1,222.333832,369.966522,46.922108,186.208557,366.668579,60.869854,135.579651,395.616028,64.790535,135.534698,421.362274,61.803219,90.882507,450.282166,56.294067,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
9,'2018/09/29 19:43:57:003',1,222.265488,369.540924,46.853882,185.968155,366.823242,60.888844,134.869232,395.576538,64.747452,134.430176,421.254272,61.691513,88.183624,449.211395,56.223484,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
10,'2018/09/29 19:43:57:053',1,221.890671,369.254578,46.795322,185.518341,366.437378,60.918636,135.035797,395.746002,64.756973,136.448761,421.653564,61.626884,89.347443,449.037903,56.301281,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
